run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260624_215220,vee_50_side_lv2_new_002,vee,side wind,Level2,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T21:52:40.576,19.746,0.0,0.0,5,-4,2,80,137.4213562373095,2.0,80,141.4213562373095,250.0,80,2,250,10,4.0,248.0,0,248.032,6.821,11.928,60,60,,7,1,1,0,0,0,54.0,-19.0,-1039.0,62,65,78,60,-112.85,193
20260624_215220,vee_50_side_lv2_new_002,vee,side wind,Level2,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T21:52:40.685,19.855,0.109,0.109,5,-4,2,80,137.4213562373095,2.0,80,141.4213562373095,250.0,80,2,250,10,4.0,248.0,0,248.032,6.697,11.928,60,60,,7,1,2,0,0,0,-9.0,-22.0,-935.0,62,65,78,60,-112.83,193
20260624_215220,vee_50_side_lv2_new_002,vee,side wind,Level2,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T21:52:40.794,19.964,0.218,0.218,5,-4,2,80,137.4213562373095,2.0,80,141.4213562373095,250.0,80,2,250,10,4.0,248.0,0,248.032,6.711,11.928,60,60,,7,1,2,0,0,0,0.0,-16.0,-954.0,62,64,79,60,-112.88,193
20260624_215220,vee_50_side_lv2_new_002,vee,side wind,Level2,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T21:52:40.902,20.072,0.326,0.326,5,-5,2,80,136.4213562373095,2.0,80,141.4213562373095,250.0,80,2,250,10,5.0,248.0,0,248.05,6.222,12.801,60,60,,7,0,2,0,0,0,-9.0,-1.0,-972.0,62,64,79,60,-112.83,193
20260624_215220,vee_50_side_lv2_new_002,vee,side wind,Level2,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T21:52:41.008,20.177,0.432,0.432,5,-5,2,80,136.4213562373095,2.0,80,141.4213562373095,250.0,80,2,250,10,5.0,248.0,0,248.05,7.772,17.749,60,60,,7,0,1,0,0,0,10.0,-1.0,-971.0,62,64,79,60,-112.87,193
20260624_215220,vee_50_side_lv2_new_002,vee,side wind,Level2,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T21:52:41.113,20.283,0.537,0.537,5,-5,2,80,136.4213562373095,2.0,80,141.4213562373095,250.0,80,2,250,10,5.0,248.0,0,248.05,7.707,17.749,60,60,,7,0,1,0,0,0,28.0,11.0,-1028.0,62,64,81,60,-112.87,193
20260624_215220,vee_50_side_lv2_new_002,vee,side wind,Level2,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T21:52:41.219,20.389,0.643,0.643,5,-5,4,80,136.4213562373095,4.0,80,141.4213562373095,250.0,80,2,250,10,5.0,246.0,0,246.051,7.969,18.525,60,60,,7,1,1,0,0,0,-9.0,-11.0,-1001.0,62,64,83,70,-112.79,193
20260624_215220,vee_50_side_lv2_new_002,vee,side wind,Level2,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T21:52:41.330,20.499,0.753,0.753,5,-5,4,80,136.4213562373095,4.0,80,141.4213562373095,250.0,80,2,250,10,5.0,246.0,0,246.051,7.969,18.525,60,60,,7,2,1,0,0,0,45.0,-50.0,-992.0,62,64,83,70,-112.73,193
20260624_215220,vee_50_side_lv2_new_002,vee,side wind,Level2,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T21:52:41.439,20.608,0.863,0.863,5,-5,4,80,136.4213562373095,4.0,80,141.4213562373095,250.0,80,2,250,10,5.0,246.0,0,246.051,6.612,13.999,60,60,,7,2,1,0,0,0,16.0,-25.0,-980.0,62,64,85,70,-112.81,193
20260624_215220,vee_50_side_lv2_new_002,vee,side wind,Level2,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T21:52:41.548,20.718,0.972,0.972,5,-5,4,80,136.4213562373095,4.0,80,141.4213562373095,250.0,80,2,250,10,5.0,246.0,0,246.051,6.51,13.999,60,60,,7,2,2,0,0,0,37.0,-10.0,-1013.0,62,64,85,70,-112.78,194
