run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260526_155846,vee_50_tail_lv1_new_prepare,vee,tail wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T15:59:05.997,19.464,0.0,0.0,5,-14,-1,76,21.355339059327378,34.35533905932738,76,35.35533905932738,285.3553390593274,80,2,250,10,14.0,251.0,4,251.422,6.459,13.102,55,55,,68,0,1,0,0,0,10.0,-31.0,-983.0,63,66,81,80,3.01,50
20260526_155846,vee_50_tail_lv1_new_prepare,vee,tail wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T15:59:06.107,19.574,0.11,0.11,5,-14,-1,76,21.355339059327378,34.35533905932738,76,35.35533905932738,285.3553390593274,80,2,250,10,14.0,251.0,4,251.422,6.044,13.102,55,55,,68,0,2,0,0,0,23.0,-13.0,-999.0,63,66,81,80,2.89,50
20260526_155846,vee_50_tail_lv1_new_prepare,vee,tail wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T15:59:06.213,19.68,0.216,0.216,5,-1,-1,77,34.35533905932738,34.35533905932738,77,35.35533905932738,285.3553390593274,80,2,250,10,1.0,251.0,3,251.02,5.44,12.862,55,55,,68,0,1,0,0,0,3.0,-3.0,-993.0,63,66,81,80,2.89,50
20260526_155846,vee_50_tail_lv1_new_prepare,vee,tail wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T15:59:06.319,19.786,0.322,0.322,5,-1,-1,77,34.35533905932738,34.35533905932738,77,35.35533905932738,285.3553390593274,80,2,250,10,1.0,251.0,3,251.02,5.44,12.862,55,55,,68,0,0,0,0,0,3.0,-9.0,-1004.0,63,66,81,80,2.91,50
20260526_155846,vee_50_tail_lv1_new_prepare,vee,tail wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T15:59:06.428,19.895,0.432,0.432,5,-1,-1,77,34.35533905932738,34.35533905932738,77,35.35533905932738,285.3553390593274,80,2,250,10,1.0,251.0,3,251.02,5.917,12.862,55,55,,68,-1,0,0,0,0,1.0,-10.0,-980.0,63,66,81,80,2.95,50
20260526_155846,vee_50_tail_lv1_new_prepare,vee,tail wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T15:59:06.537,20.004,0.54,0.54,5,-1,-1,77,34.35533905932738,34.35533905932738,77,35.35533905932738,285.3553390593274,80,2,250,10,1.0,251.0,3,251.02,5.917,12.862,55,55,,68,0,0,0,0,0,-8.0,3.0,-978.0,63,66,81,80,2.99,51
20260526_155846,vee_50_tail_lv1_new_prepare,vee,tail wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T15:59:06.652,20.119,0.655,0.655,5,-15,-3,77,20.355339059327378,32.35533905932738,77,35.35533905932738,285.3553390593274,80,2,250,10,15.0,253.0,3,253.462,7.101,13.452,55,55,,68,0,0,0,0,0,-1.0,-7.0,-1002.0,63,66,81,80,3.04,51
20260526_155846,vee_50_tail_lv1_new_prepare,vee,tail wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T15:59:06.769,20.236,0.773,0.773,5,-15,-3,77,20.355339059327378,32.35533905932738,77,35.35533905932738,285.3553390593274,80,2,250,10,15.0,253.0,3,253.462,7.101,13.452,55,55,,68,0,0,0,0,0,-6.0,-21.0,-1031.0,63,66,81,80,3.01,51
20260526_155846,vee_50_tail_lv1_new_prepare,vee,tail wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T15:59:06.876,20.343,0.879,0.879,5,-15,-3,77,20.355339059327378,32.35533905932738,77,35.35533905932738,285.3553390593274,80,2,250,10,15.0,253.0,3,253.462,7.256,13.452,55,55,,68,0,0,0,0,0,0.0,0.0,-1005.0,63,66,81,80,2.99,51
20260526_155846,vee_50_tail_lv1_new_prepare,vee,tail wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T15:59:06.981,20.448,0.984,0.984,5,-15,-3,77,20.355339059327378,32.35533905932738,77,35.35533905932738,285.3553390593274,80,2,250,10,15.0,253.0,3,253.462,8.0,16.298,55,55,,68,0,1,0,0,0,6.0,-28.0,-973.0,63,66,80,80,2.98,51
