run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T17:01:57.811,17.764,0.0,0.0,5,-15,-7,81,91.06601717798213,28.355339059327378,81,106.06601717798213,285.3553390593274,80,2,250,10,15.0,257.0,-1,257.439,9.027,17.537,63,63,,-4,6,0,-1,0,0,148.0,-5.0,-1008.0,62,64,83,70,0.18,234
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T17:01:57.918,17.871,0.107,0.107,5,-15,-7,81,91.06601717798213,28.355339059327378,81,106.06601717798213,285.3553390593274,80,2,250,10,15.0,257.0,-1,257.439,9.027,17.537,63,63,,-4,6,-2,0,0,0,97.0,1.0,-987.0,62,64,83,70,0.22,234
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T17:01:58.023,17.976,0.212,0.212,5,0,-5,84,106.06601717798213,30.355339059327378,84,106.06601717798213,285.3553390593274,80,2,250,10,0.0,255.0,-4,255.031,6.938,16.311,63,63,,-4,6,0,0,0,0,42.0,13.0,-1028.0,62,64,83,70,0.16,234
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T17:01:58.126,18.08,0.316,0.316,5,0,-5,84,106.06601717798213,30.355339059327378,84,106.06601717798213,285.3553390593274,80,2,250,10,0.0,255.0,-4,255.031,6.938,16.311,63,63,,-4,3,0,0,0,0,61.0,18.0,-1031.0,62,64,83,70,0.19,234
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T17:01:58.230,18.183,0.419,0.419,5,0,-5,84,106.06601717798213,30.355339059327378,84,106.06601717798213,285.3553390593274,80,2,250,10,0.0,255.0,-4,255.031,6.938,16.311,63,63,,-4,2,-2,0,0,0,51.0,19.0,-992.0,62,64,81,70,0.13,234
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T17:01:58.338,18.291,0.527,0.527,5,0,-5,84,106.06601717798213,30.355339059327378,84,106.06601717798213,285.3553390593274,80,2,250,10,0.0,255.0,-4,255.031,8.139,15.794,63,63,,-4,2,0,0,0,0,51.0,-5.0,-1056.0,62,64,82,70,0.19,234
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T17:01:58.441,18.394,0.631,0.631,5,0,-5,84,106.06601717798213,30.355339059327378,84,106.06601717798213,285.3553390593274,80,2,250,10,0.0,255.0,-4,255.031,8.139,15.794,63,63,,-3,2,0,0,0,0,28.0,20.0,-982.0,62,64,81,70,0.2,234
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T17:01:58.547,18.501,0.737,0.737,5,0,-4,83,106.06601717798213,31.355339059327378,83,106.06601717798213,285.3553390593274,80,2,250,10,0.0,254.0,-3,254.018,8.244,14.917,63,63,,-3,1,-1,0,0,0,32.0,4.0,-1024.0,62,64,81,70,0.2,235
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T17:01:58.654,18.608,0.844,0.844,5,0,-4,83,106.06601717798213,31.355339059327378,83,106.06601717798213,285.3553390593274,80,2,250,10,0.0,254.0,-3,254.018,8.244,14.917,63,63,,-3,2,1,0,0,0,43.0,-22.0,-1001.0,62,64,81,70,0.24,235
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T17:01:58.760,18.714,0.95,0.95,5,0,-4,83,106.06601717798213,31.355339059327378,83,106.06601717798213,285.3553390593274,80,2,250,10,0.0,254.0,-3,254.018,6.295,13.442,63,63,,-3,1,0,0,0,0,102.0,-20.0,-1008.0,62,64,81,70,0.21,235
