run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_logging,2026-05-26T17:01:57.811,17.764,0.0,0.0,1,-7,19,80,-7.0,19.0,80,0.0,250.0,80,6,250,10,7.0,231.0,0,231.106,9.027,17.537,63,63,,2,4,0,1,0,0,89.0,-70.0,-970.0,65,69,81,80,-1.23,230
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T17:01:57.811,17.764,0.0,0.0,5,3,0,82,38.35533905932738,35.35533905932738,82,35.35533905932738,285.3553390593274,80,2,250,10,-3.0,250.0,-2,250.026,9.027,17.537,69,69,,3,0,0,1,0,0,1.0,0.0,-1023.0,64,67,83,70,-0.05,174
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-26T17:01:57.811,17.764,0.0,0.0,3,0,-9,84,70.71067811865476,61.710678118654755,84,70.71067811865476,320.71067811865476,80,8,250,10,0.0,259.0,-4,259.031,9.027,17.537,66,66,,-1,0,2,0,0,0,69.0,17.0,-1015.0,67,69,79,70,-0.67,146
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T17:01:57.811,17.764,0.0,0.0,5,-15,-7,81,91.06601717798213,28.355339059327378,81,106.06601717798213,285.3553390593274,80,2,250,10,15.0,257.0,-1,257.439,9.027,17.537,63,63,,-4,6,0,-1,0,0,148.0,-5.0,-1008.0,62,64,83,70,0.18,234
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T17:01:57.811,17.764,0.0,0.0,1,4,4,87,145.4213562373095,4.0,87,141.4213562373095,250.0,80,8,250,10,-4.0,246.0,-7,246.132,9.027,17.537,65,65,,125,4,2,0,0,0,88.0,-6.0,-1045.0,62,65,83,80,-1.07,179
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T17:01:57.918,17.871,0.107,0.107,1,-7,19,83,-7.0,19.0,83,0.0,250.0,80,6,250,10,7.0,231.0,-3,231.126,9.027,17.537,63,63,,2,4,0,1,0,0,104.0,-70.0,-980.0,65,69,81,80,-1.29,230
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T17:01:57.918,17.871,0.107,0.107,5,3,0,82,38.35533905932738,35.35533905932738,82,35.35533905932738,285.3553390593274,80,2,250,10,-3.0,250.0,-2,250.026,9.027,17.537,69,69,,3,0,0,1,0,0,21.0,6.0,-1007.0,64,67,83,70,-0.13,174
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-26T17:01:57.918,17.871,0.107,0.107,3,0,-9,84,70.71067811865476,61.710678118654755,84,70.71067811865476,320.71067811865476,80,8,250,10,0.0,259.0,-4,259.031,9.027,17.537,66,66,,-1,0,1,0,0,0,5.0,7.0,-1030.0,67,69,78,70,-0.46,146
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T17:01:57.918,17.871,0.107,0.107,5,-15,-7,81,91.06601717798213,28.355339059327378,81,106.06601717798213,285.3553390593274,80,2,250,10,15.0,257.0,-1,257.439,9.027,17.537,63,63,,-4,6,-2,0,0,0,97.0,1.0,-987.0,62,64,83,70,0.22,234
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T17:01:57.918,17.871,0.107,0.107,1,4,4,87,145.4213562373095,4.0,87,141.4213562373095,250.0,80,8,250,10,-4.0,246.0,-7,246.132,9.027,17.537,65,65,,125,5,1,0,0,0,112.0,4.0,-1019.0,62,64,83,80,-1.12,179
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T17:01:58.023,17.976,0.212,0.212,1,-7,19,83,-7.0,19.0,83,0.0,250.0,80,6,250,10,7.0,231.0,-3,231.126,6.938,16.311,63,63,,2,5,1,0,0,0,-1.0,33.0,-984.0,65,69,81,80,-1.23,230
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T17:01:58.023,17.976,0.212,0.212,5,3,0,82,38.35533905932738,35.35533905932738,82,35.35533905932738,285.3553390593274,80,2,250,10,-3.0,250.0,-2,250.026,6.938,16.311,69,69,,3,0,1,0,0,0,24.0,-24.0,-988.0,64,67,83,70,-0.2,175
20260526_170140,vee_50_tail_lv2_new_002,vee,tail wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-26T17:01:58.023,17.976,0.212,0.212,3,-3,-14,82,67.71067811865476,56.710678118654755,82,70.71067811865476,320.71067811865476,80,8,250,10,3.0,264.0,-2,264.025,6.938,16.311,66,66,,-1,2,0,0,-1,0,19.0,41.0,-1061.0,67,69,78,70,-0.45,146
