run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_1,192.168.0.101,B11,1,vee_1,1,6,node_segment_1_of_5,2026-06-15T17:06:24.655,17.607,0.0,48,48,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_2,192.168.0.109,B10,2,vee_2,2,7,node_segment_1_of_5,2026-06-15T17:06:24.655,17.607,0.0,45,45,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_3,192.168.0.103,B13,3,vee_3,3,8,node_segment_1_of_5,2026-06-15T17:06:24.655,17.607,0.0,54,54,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_4,192.168.0.106,B14,4,vee_4,4,1,node_segment_1_of_5,2026-06-15T17:06:24.655,17.607,0.0,51,51,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_5,192.168.0.107,B12,5,vee_5,5,2,node_segment_1_of_5,2026-06-15T17:06:24.655,17.607,0.0,57,57,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_1,192.168.0.101,B11,1,vee_1,1,6,node_segment_1_of_5,2026-06-15T17:06:24.764,17.717,0.11,48,48,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_2,192.168.0.109,B10,2,vee_2,2,7,node_segment_1_of_5,2026-06-15T17:06:24.764,17.717,0.11,45,45,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_3,192.168.0.103,B13,3,vee_3,3,8,node_segment_1_of_5,2026-06-15T17:06:24.764,17.717,0.11,54,54,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_4,192.168.0.106,B14,4,vee_4,4,1,node_segment_1_of_5,2026-06-15T17:06:24.764,17.717,0.11,51,51,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_5,192.168.0.107,B12,5,vee_5,5,2,node_segment_1_of_5,2026-06-15T17:06:24.764,17.717,0.11,57,57,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_1,192.168.0.101,B11,1,vee_1,1,6,node_segment_1_of_5,2026-06-15T17:06:24.868,17.82,0.213,48,48,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_2,192.168.0.109,B10,2,vee_2,2,7,node_segment_1_of_5,2026-06-15T17:06:24.868,17.82,0.213,45,45,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_3,192.168.0.103,B13,3,vee_3,3,8,node_segment_1_of_5,2026-06-15T17:06:24.868,17.82,0.213,54,54,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_4,192.168.0.106,B14,4,vee_4,4,1,node_segment_1_of_5,2026-06-15T17:06:24.868,17.82,0.213,51,51,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_5,192.168.0.107,B12,5,vee_5,5,2,node_segment_1_of_5,2026-06-15T17:06:24.868,17.82,0.213,57,57,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_1,192.168.0.101,B11,1,vee_1,1,6,node_segment_1_of_5,2026-06-15T17:06:24.976,17.929,0.322,48,48,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_2,192.168.0.109,B10,2,vee_2,2,7,node_segment_1_of_5,2026-06-15T17:06:24.976,17.929,0.322,45,45,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_3,192.168.0.103,B13,3,vee_3,3,8,node_segment_1_of_5,2026-06-15T17:06:24.976,17.929,0.322,54,54,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_4,192.168.0.106,B14,4,vee_4,4,1,node_segment_1_of_5,2026-06-15T17:06:24.976,17.929,0.322,51,51,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_5,192.168.0.107,B12,5,vee_5,5,2,node_segment_1_of_5,2026-06-15T17:06:24.976,17.929,0.322,57,57,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_1,192.168.0.101,B11,1,vee_1,1,6,node_segment_1_of_5,2026-06-15T17:06:25.083,18.035,0.428,48,48,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_2,192.168.0.109,B10,2,vee_2,2,7,node_segment_1_of_5,2026-06-15T17:06:25.083,18.035,0.428,45,45,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_3,192.168.0.103,B13,3,vee_3,3,8,node_segment_1_of_5,2026-06-15T17:06:25.083,18.035,0.428,54,54,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_4,192.168.0.106,B14,4,vee_4,4,1,node_segment_1_of_5,2026-06-15T17:06:25.083,18.035,0.428,51,51,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_5,192.168.0.107,B12,5,vee_5,5,2,node_segment_1_of_5,2026-06-15T17:06:25.083,18.035,0.428,57,57,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_1,192.168.0.101,B11,1,vee_1,1,6,node_segment_1_of_5,2026-06-15T17:06:25.190,18.142,0.535,48,48,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_2,192.168.0.109,B10,2,vee_2,2,7,node_segment_1_of_5,2026-06-15T17:06:25.190,18.142,0.535,45,45,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_3,192.168.0.103,B13,3,vee_3,3,8,node_segment_1_of_5,2026-06-15T17:06:25.190,18.142,0.535,54,54,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_4,192.168.0.106,B14,4,vee_4,4,1,node_segment_1_of_5,2026-06-15T17:06:25.190,18.142,0.535,51,51,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_5,192.168.0.107,B12,5,vee_5,5,2,node_segment_1_of_5,2026-06-15T17:06:25.190,18.142,0.535,57,57,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_1,192.168.0.101,B11,1,vee_1,1,6,node_segment_1_of_5,2026-06-15T17:06:25.297,18.249,0.642,48,48,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_2,192.168.0.109,B10,2,vee_2,2,7,node_segment_1_of_5,2026-06-15T17:06:25.297,18.249,0.642,45,45,0
20260615_170607,vee_75_head_lv2_new_006,vee,head wind,Level2,75,drone_3,192.168.0.103,B13,3,vee_3,3,8,node_segment_1_of_5,2026-06-15T17:06:25.297,18.249,0.642,54,54,0
