run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260618_230623,vee_75_side_lv2_new_003,vee,side wind,Level2,75,drone_1,192.168.0.102,B11,1,vee_1,1,0,0,node_logging,2026-06-18T23:06:40.659,17.295,0.0,0.0,1,-10,-11,84,-10.0,-11.0,84,0.0,250.0,80,6,250,10,10.0,261.0,-4,261.222,6.977,14.852,47,47,,2,-1,0,0,0,0,-83.0,36.0,-1019.0,65,66,84,80,13.16,228
20260618_230623,vee_75_side_lv2_new_003,vee,side wind,Level2,75,drone_2,192.168.0.109,B10,2,vee_2,2,1,0,node_segment_1_of_5,2026-06-18T23:06:40.659,17.295,0.0,0.0,2,0,0,75,49.49747468305833,49.49747468305833,75,49.49747468305833,299.49747468305833,80,7,250,10,0.0,250.0,5,250.05,6.977,14.852,46,46,,0,0,1,0,0,0,7.0,-24.0,-1002.0,66,68,79,60,14.15,315
20260618_230623,vee_75_side_lv2_new_003,vee,side wind,Level2,75,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-06-18T23:06:40.659,17.295,0.0,0.0,3,-9,-4,84,97.06601717798213,102.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,9.0,254.0,-4,254.191,6.977,14.852,52,52,,4,1,0,0,0,0,12.0,2.0,-994.0,66,70,83,70,14.11,272
20260618_230623,vee_75_side_lv2_new_003,vee,side wind,Level2,75,drone_4,192.168.0.106,B14,4,vee_4,4,3,0,node_segment_1_of_5,2026-06-18T23:06:40.659,17.295,0.0,0.0,4,-3,0,84,159.63455967290594,49.49747468305833,84,162.63455967290594,299.49747468305833,80,1,250,10,3.0,250.0,-4,250.05,6.977,14.852,46,46,,1,1,0,0,0,0,24.0,-22.0,-996.0,60,63,81,70,14.47,209
20260618_230623,vee_75_side_lv2_new_003,vee,side wind,Level2,75,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-18T23:06:40.659,17.295,0.0,0.0,5,-10,4,80,202.13203435596427,4.0,80,212.13203435596427,250.0,80,2,250,10,10.0,246.0,0,246.203,6.977,14.852,47,47,,9,0,0,0,0,0,-22.0,-14.0,-978.0,62,66,81,70,13.19,328
20260618_230623,vee_75_side_lv2_new_003,vee,side wind,Level2,75,drone_1,192.168.0.102,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-18T23:06:40.764,17.4,0.105,0.105,1,-10,-11,84,-10.0,-11.0,84,0.0,250.0,80,6,250,10,10.0,261.0,-4,261.222,6.663,14.852,47,47,,2,-2,0,0,0,0,-14.0,-46.0,-975.0,65,66,84,80,13.14,228
20260618_230623,vee_75_side_lv2_new_003,vee,side wind,Level2,75,drone_2,192.168.0.109,B10,2,vee_2,2,1,0,node_segment_1_of_5,2026-06-18T23:06:40.764,17.4,0.105,0.105,2,0,0,75,49.49747468305833,49.49747468305833,75,49.49747468305833,299.49747468305833,80,7,250,10,0.0,250.0,5,250.05,6.663,14.852,46,46,,0,0,1,0,0,0,-6.0,-5.0,-957.0,66,68,79,60,14.34,316
20260618_230623,vee_75_side_lv2_new_003,vee,side wind,Level2,75,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-06-18T23:06:40.764,17.4,0.105,0.105,3,-9,-4,85,97.06601717798213,102.06601717798213,85,106.06601717798213,356.06601717798213,80,8,250,10,9.0,254.0,-5,254.209,6.663,14.852,52,52,,4,0,0,0,0,0,27.0,-3.0,-967.0,66,70,83,70,14.04,272
20260618_230623,vee_75_side_lv2_new_003,vee,side wind,Level2,75,drone_4,192.168.0.106,B14,4,vee_4,4,3,0,node_segment_1_of_5,2026-06-18T23:06:40.764,17.4,0.105,0.105,4,-3,0,84,159.63455967290594,49.49747468305833,84,162.63455967290594,299.49747468305833,80,1,250,10,3.0,250.0,-4,250.05,6.663,14.852,46,46,,1,1,0,0,0,0,25.0,-29.0,-990.0,60,63,81,70,14.5,209
20260618_230623,vee_75_side_lv2_new_003,vee,side wind,Level2,75,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-18T23:06:40.764,17.4,0.105,0.105,5,-9,3,81,203.13203435596427,3.0,81,212.13203435596427,250.0,80,2,250,10,9.0,247.0,-1,247.166,6.663,14.852,47,47,,9,0,0,0,0,0,-47.0,8.0,-939.0,62,66,82,70,13.27,328
